8,9,9,9,9,9,9,8.87,-1,9,9,9,8,8,9,8,8.64,-1,8,9,8,10,8,9,10,8.77,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1
8,8,7,9,8,8,9,8.17,-1,10,10,9,7,8,9,8,8.82,-1,9,10,9,9,9,9,9,9.14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,8,6,6,5,9,6.57,-1,6,9,6,7,7,5,8,6.55,-1,7,9,6,6,7,9,6,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,6,5,7,6,9,7,-1,8,9,6,7,9,6,9,7.55,-1,8,10,7,8,6,9,5,7.41,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,8,8,8,9,9,8.13,-1,8,9,7,9,7,8,9,7.91,-1,8,9,6,8,8,8,9,7.91,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,9,8,10,8,8,8.78,-1,8,9,9,8,8,9,9,8.55,-1,8,10,7,7,7,8,8,7.77,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,8,8,5,8,9,7.26,-1,10,9,6,7,9,8,9,8.27,-1,8,8,7,8,5,8,7,7.14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,8,6,7,8,6.87,-1,8,9,9,8,7,8,9,8.18,-1,8,8,6,8,8,8,8,7.64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,6,5,5,7,6,5.78,-1,5,9,5,7,7,5,9,6.27,-1,5,8,5,6,5,7,5,5.73,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,9,8,7,8,8.78,-1,8,9,7,8,9,7,9,8,-1,7,9,6,8,7,8,7,7.32,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,8,8,6,6,8,7.17,-1,6,8,7,9,8,8,9,7.64,-1,7,9,6,7,6,8,6,6.86,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,8,5,5,5,8,5.78,-1,8,8,6,6,7,5,8,6.73,-1,5,7,5,8,6,8,6,6.27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,6,10,8,5,8,7.52,-1,8,8,7,8,7,8,9,7.73,-1,9,7,6,8,7,8,9,7.59,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,9,6,5,6,8,6.7,-1,7,9,6,8,7,7,9,7.27,-1,6,8,7,8,6,8,6,6.91,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
