8,10,8,10,10,10,9,9.48,-1,10,9,9,10,9,10,9,9.45,-1,10,9,10,10,9,10,9.68,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1
8,10,9,8,8,9,9,8.7,-1,8,9,8,7,8,8,9,8.09,-1,9,8,6,7,7,9,7.74,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,6,8,8,9,7,7.74,-1,7,8,7,7,8,8,9,7.64,-1,7,5,5,5,7,7,5.95,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,10,10,9,9.35,-1,8,10,10,9,8,10,9,9.09,-1,8,9,9,9,8,10,8.84,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,10,10,9,8,9,9.26,-1,9,9,9,9,9,9,9,9,-1,9,7,7,7,8,8,7.68,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,8,6,6,6,9,7,-1,7,9,6,7,7,7,9,7.18,-1,8,7,7,6,8,8,7.37,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,9,8,8,7,7,7.87,-1,9,9,8,9,7,9,9,8.45,-1,9,7,7,7,8,8,7.68,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,8,7,7,7,9,7.43,-1,7,9,6,7,7,7,9,7.18,-1,8,7,7,6,8,9,7.53,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,8,9,9,8,9,8.61,-1,9,9,9,8,9,9,9,8.91,-1,7,6,7,7,7,10,7.26,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,9,9,9,8,9,8.65,-1,9,9,8,8,8,8,9,8.36,-1,9,9,9,9,9,9,9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
