7.13,7.09,6.8,0,0,0,0,0,0,0
6.7,6.27,6.5,,,,,,,
8.52,9.18,8.65,,,,,,,
5.35,6.36,6,,,,,,,
7.26,7.55,8,,,,,,,
8.35,8.36,8.9,,,,,,,
7.13,7.64,8.05,,,,,,,
7.48,7.18,7.05,,,,,,,
6.09,5.82,6.06,,,,,,,
6.83,8.73,7,,,,,,,
8.04,8.82,9.2,,,,,,,
7.7,8.18,7.4,,,,,,,
8.87,9.18,8.55,,,,,,,
8.74,8.18,7.85,,,,,,,
9.83,9,9.8,,,,,,,
8.09,7.09,7.55,,,,,,,
7.22,7.91,7.7,,,,,,,
9.57,9.55,9.3,,,,,,,
6.52,6.36,6.4,,,,,,,
9.39,8.36,9.15,,,,,,,
6.52,7.36,6.8,,,,,,,
6.87,7.82,8.35,,,,,,,
8.61,7.45,8.45,,,,,,,
8.17,8.36,9.1,,,,,,,
8.61,7.36,8.75,,,,,,,
7.22,7.91,7.6,,,,,,,
6.7,7.36,6.4,,,,,,,
7.39,7.82,8.15,,,,,,,
9.3,8.55,9.05,,,,,,,
7.61,8.45,7.8,,,,,,,
8.65,8.73,9.15,,,,,,,
9.22,8.09,7.9,,,,,,,
7.57,7.27,7.4,,,,,,,
7.48,7.27,6.55,,,,,,,
8.57,8.09,8.8,,,,,,,
7.17,7.55,7.5,,,,,,,
8.87,8.09,9.15,,,,,,,
6.61,6.55,6.85,,,,,,,
7.09,7.45,8.7,,,,,,,
8.22,8,8.1,,,,,,,
9.35,8.82,8.3,,,,,,,
9.78,9.64,10,,,,,,,
9.74,9.45,9.9,,,,,,,
9.35,9.09,9.5,,,,,,,
9.87,8.82,9.6,,,,,,,
9.17,9.36,9.9,,,,,,,
9.13,9.18,9.05,,,,,,,
9.3,9,8.85,,,,,,,
9.57,9.09,9.5,,,,,,,
6.43,6.27,6.85,6.89,7,,,,,
5.61,6.18,5.7,5.6,6.13,,,,,
6.78,6.36,6.05,6.37,5.95,,,,,
8.04,8.55,8.9,8.75,8.22,,,,,
8.17,8.55,8.05,7.05,7.36,,,,,
7.91,7.64,8,7.5,7.05,,,,,
8.65,8.09,9.8,9.45,8.04,,,,,
6.04,6.36,5.7,5.67,5.81,,,,,
7.74,7.09,6.65,6.7,6.59,,,,,
7.43,7.27,7.3,7.35,6.39,,,,,
8.3,7.82,8.65,8.95,8.14,,,,,
8.7,8.09,8.3,8.1,7.87,,,,,
7.43,8.36,8.4,8.05,7.5,,,,,
6.22,7,5.5,4.6,5.81,,,,,
7.43,7.27,7.55,6,6.64,,,,,
8.26,8.73,9.05,8.85,8.09,,,,,
6.22,6.36,5.4,5.6,5.81,,,,,
8.91,8.09,8.55,7.3,8.5,,,,,
9.17,8.36,8.6,9.3,7.73,,,,,
7.91,7.73,8.95,8.25,7.09,,,,,
8.61,8.27,8.35,9.33,8.09,,,,,
8.83,9.55,9.35,9.45,8.68,,,,,
7.91,7.91,8.6,8.7,7.57,,,,,
6.7,7,8,7.25,6.74,,,,,
8,8.64,8.05,9,7.27,,,,,
7.3,7.18,6.95,6.9,6.41,,,,,
6.61,7.27,5.4,6.26,5.82,,,,,
7,8,8.15,9,7.82,,,,,
7.39,6.73,7.2,7.5,7.22,,,,,
6.04,6.64,6.15,6.89,6.27,,,,,
7.74,7.91,7.9,8.2,7.73,,,,,
8.52,8.27,9.6,8.8,8.3,,,,,
6.7,7.09,6.4,6.75,6.41,,,,,
8,7.82,7.65,7.35,7.05,,,,,
9.48,8.45,9.25,9.6,8.41,,,,,
7.35,8,8.1,8.17,7.17,,,,,
9.22,8.82,9.15,8.4,7.91,,,,,
9.09,8.82,8.25,8.65,8.64,,,,,
9.43,9.27,9.3,9.5,8.45,,,,,
9.22,8.82,9.7,9.35,8.55,,,,,
9.52,8.82,9.35,9.8,7.86,,,,,
7.83,7.73,7.7,7.05,8.22,8.04,7,,,
8.09,9.09,7.5,8.8,8.32,8.71,7.05,,,
8.83,8.27,7.85,6.95,7.78,7.46,7.15,,,
6.87,7.55,6.7,5.85,6.45,7.67,6.71,,,
9.04,9.55,9,8.5,8.87,8.58,7.38,,,
8,8.91,7.75,7.7,8.23,7.88,7.43,,,
7.52,8.36,7.15,7.25,7.14,6.75,7.24,,,
7.78,6.91,7.95,7.3,7.95,8.21,6.48,,,
7.96,8.45,7,7.5,7.17,7.21,6.3,,,
7.13,7.64,7.4,6.65,7.64,6.96,6.25,,,
5.7,6.18,6.5,5.53,6.39,6.75,6.86,,,
5.96,6.45,5.2,5.53,6.73,6.46,5.6,,,
7.26,8.27,7.85,7.85,8.52,8.25,8.14,,,
7.43,8,7.15,7.25,7.55,8.04,7.15,,,
8.39,8.82,8.25,8.05,7.41,7.13,6.25,,,
8.48,7.18,7.1,6.35,7.59,7.88,8.9,,,
7.26,7.27,7.4,7.3,7.64,7.79,6.5,,,
7,7.82,7.55,6.85,7.82,7.29,7.15,,,
8.35,7.55,8.45,7.3,7.22,7.17,5.95,,,
