9,9,10,10,10,10,10,9.7,-1,10,10,10,10,9,10,9,9.73,-1,8,9,9,10,10,10,10,9.36,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1
9,10,10,9,10,9,10,9.52,-1,10,9,9,9,8,10,10,9.27,-1,9,9,8,9,9,8,9,8.73,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,8,8,7,8,9,8.09,-1,10,9,8,8,7,9,9,8.55,-1,9,7,7,7,9,8,8,7.82,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,9,10,10,10,9,9.57,-1,10,10,9,9,9,10,9,9.45,-1,10,8,10,10,9,9,10,9.36,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,10,9,10,10,9,9.48,-1,9,9,9,9,8,9,9,8.82,-1,9,9,10,10,9,9,7,9.09,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,10,9,9,10,9,9.26,-1,9,9,8,8,9,10,9,8.91,-1,8,8,9,8,9,7,10,8.18,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,6,9,6,7,8,7.43,-1,7,9,7,8,8,7,9,7.64,-1,6,5,5,7,10,5,8,6.27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,8,10,9,8,9,8.96,-1,10,9,9,8,9,9,10,9.18,-1,10,7,5,10,9,8,8,8.36,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,9,9,9,8,9,8.7,-1,10,9,8,9,10,9,9,9.18,-1,8,8,8,8,10,7,8,8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,10,10,10,10,10,-1,10,10,10,9,8,10,10,9.55,-1,10,8,9,9,9,8,10,8.91,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,9,8,5,6,9,7.17,-1,8,9,7,8,7,8,9,7.82,-1,7,5,5,8,9,5,7,6.45,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,10,8,10,8,9,8.96,-1,9,9,9,9,7,9,9,8.64,-1,8,8,8,9,9,8,7,8.18,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,9,9,8,9,10,9.04,-1,10,9,10,10,8,10,9,9.45,-1,9,8,9,8,10,9,8,8.64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,9,9,8,9,9,8.26,-1,9,9,9,9,8,9,9,8.82,-1,7,6,5,7,9,6,9,6.82,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,10,8,9,8,9,8.91,-1,7,9,6,8,10,6,9,7.64,-1,7,7,7,9,9,6,8,7.45,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,8,8,6,8,8,7.57,-1,9,9,9,8,8,10,8,8.82,-1,8,7,7,9,9,8,9,8.09,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,9,8,9,10,9,8.87,-1,9,9,8,9,9,10,9,9,-1,9,8,8,9,10,7,7,8.27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,7,8,8,8,9,8,-1,8,10,8,8,8,9,9,8.45,-1,7,6,5,8,9,6,8,6.91,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,9,10,9,9,10,9.3,-1,10,9,8,9,7,10,9,8.82,-1,8,8,8,8,9,8,10,8.27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,6,5,6,5,8,6.13,-1,7,8,6,7,7,7,8,7,-1,7,6,5,8,8,5,8,6.64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,10,8,7,6,9,8.22,-1,9,9,7,7,9,8,9,8.27,-1,6,5,5,6,9,5,8,6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
